date,material,state,city,price_per_kg,source_name,source_url,verification_notes
2024-06-15,copper,Delhi,Delhi-NCR,610.0,MSTC e-Auction Portal,https://www.mstcecommerce.com,Official PSU e-Auction Rate
2024-06-15,copper,Maharashtra,Mumbai,618.0,SteelBaba Metal Index,https://www.steelbaba.com,Wholesale Mandi Rate
2024-06-15,iron_steel,Punjab,Mandi Gobindgarh,36.5,SteelBaba Mandi Benchmark,https://www.steelbaba.com,HMS Grade Scrap
2024-06-15,aluminium,Delhi,Delhi-NCR,145.0,MSTC Metal Scrap Bids,https://www.mstcecommerce.com,Official PSU Scrap Rate
2024-06-15,pcb,Karnataka,Bangalore,220.0,Bangalore E-Waste Recyclers,https://www.thekabadiwala.com,IT Scrap Rate
2024-06-15,batteries,Maharashtra,Pune,82.0,Lead-Acid Recycling Board,https://www.recycleinme.com,Scrap Battery Ingot Rate
2024-06-15,pet_plastic,Madhya Pradesh,Indore,25.0,The Kabadiwala Doorstep Rate,https://www.thekabadiwala.com,PET Bottle Rate
2024-06-15,cardboard_paper,Uttar Pradesh,Noida,13.0,Regional Kabadi Rate Card,https://www.scrapprice.in,Corrugated Box Rate
2024-09-01,copper,Delhi,Delhi-NCR,625.0,MSTC e-Auction Portal,https://www.mstcecommerce.com,Official PSU e-Auction Rate
2024-09-01,copper,Maharashtra,Mumbai,632.0,SteelBaba Metal Index,https://www.steelbaba.com,Wholesale Mandi Rate
2024-09-01,iron_steel,Punjab,Mandi Gobindgarh,38.0,SteelBaba Mandi Benchmark,https://www.steelbaba.com,HMS Grade Scrap
2024-09-01,aluminium,Delhi,Delhi-NCR,152.0,MSTC Metal Scrap Bids,https://www.mstcecommerce.com,Official PSU Scrap Rate
2024-09-01,pcb,Karnataka,Bangalore,230.0,Bangalore E-Waste Recyclers,https://www.thekabadiwala.com,IT Scrap Rate
2024-09-01,batteries,Maharashtra,Pune,85.0,Lead-Acid Recycling Board,https://www.recycleinme.com,Scrap Battery Ingot Rate
2024-09-01,pet_plastic,Madhya Pradesh,Indore,27.0,The Kabadiwala Doorstep Rate,https://www.thekabadiwala.com,PET Bottle Rate
2024-09-01,cardboard_paper,Uttar Pradesh,Noida,14.0,Regional Kabadi Rate Card,https://www.scrapprice.in,Corrugated Box Rate
2024-11-15,copper,Delhi,Delhi-NCR,638.0,MSTC e-Auction Portal,https://www.mstcecommerce.com,Official PSU e-Auction Rate
2024-11-15,copper,Maharashtra,Mumbai,644.0,SteelBaba Metal Index,https://www.steelbaba.com,Wholesale Mandi Rate
2024-11-15,iron_steel,Punjab,Mandi Gobindgarh,38.8,SteelBaba Mandi Benchmark,https://www.steelbaba.com,HMS Grade Scrap
2024-11-15,aluminium,Delhi,Delhi-NCR,155.0,MSTC Metal Scrap Bids,https://www.mstcecommerce.com,Official PSU Scrap Rate
2024-11-15,pcb,Karnataka,Bangalore,235.0,Bangalore E-Waste Recyclers,https://www.thekabadiwala.com,IT Scrap Rate
